"Part";"Value";"Device";"Package";"Description";"CURRENT";"DESCRIPTION";"HEIGHT";"INDUCTANCE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PN";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";"VOLATAGE";
"C1";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"8p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"12p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"8p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"12p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"8p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"12p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C17";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C18";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C19";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C20";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
