Partlist

Exported from Preselector.sch at 9/13/2019 6:56 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value          Device          Package      Library           Sheet

C1       100p 50v c0g   C-USC0603K      C0603K       rcl               3
C2       0.1u 16V X7R   C-USC0603K      C0603K       rcl               3
C3       100p 50v c0g   C-USC0603K      C0603K       rcl               3
C4       8p 5% 0603     C-USC0603K      C0603K       rcl               3
C5       12p 5% 0603    C-USC0603K      C0603K       rcl               3
C6       0.1u 16V X7R   C-USC0603K      C0603K       rcl               3
C7       100p 50v c0g   C-USC0603K      C0603K       rcl               3
C8       8p 5% 0603     C-USC0603K      C0603K       rcl               3
C9       12p 5% 0603    C-USC0603K      C0603K       rcl               3
C10      0.1u 16V X7R   C-USC0603K      C0603K       rcl               3
C11      100p 50v c0g   C-USC0603K      C0603K       rcl               3
C12      8p 5% 0603     C-USC0603K      C0603K       rcl               3
C13      12p 5% 0603    C-USC0603K      C0603K       rcl               3
C14      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C15      0.1u 16V X7R   C-USC0603K      C0603K       rcl               4
C16      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C17      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C18      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C19      0.1u 16V X7R   C-USC0603K      C0603K       rcl               4
C20      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C21      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C22      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C23      0.1u 16V X7R   C-USC0603K      C0603K       rcl               4
C24      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C25      100p 50v c0g   C-USC0603K      C0603K       rcl               4
C26      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C27      0.1u 16V X7R   C-USC0603K      C0603K       rcl               5
C28      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C29      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C30      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C31      0.1u 16V X7R   C-USC0603K      C0603K       rcl               5
C32      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C33      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C34      100p 50v c0g   C-USC0603K      C0603K       rcl               5
C35      0.1u 16V X7R   C-USC0603K      C0603K       rcl               5
